article_title,revision_id,article_quality,country,population,region
"Majah Ha Adrif",1233202991,Start,"Afghanistan",,
"Haroon al-Afghani",1230459615,B,"Afghanistan",,
"Tayyab Agha",1225661708,Start,"Afghanistan",,
"Khadija Zahra Ahmadi",1234741562,Stub,"Afghanistan",,
"Aziza Ahmadyar",1195651393,Start,"Afghanistan",,
"Muqadasa Ahmadzai",1235521766,Start,"Afghanistan",,
"Mohammad Sarwar Ahmedzai",1176429234,Start,"Afghanistan",,
"Amir Muhammad Akhundzada",1247931713,Start,"Afghanistan",,
"Nasrullah Baryalai Arsalai",1225385278,Start,"Afghanistan",,
"Abdul Rahim Ayoubi",1226326055,Start,"Afghanistan",,
"Ismael Balkhi",1244521219,Start,"Afghanistan",,
"Abdul Baqi Turkistani",1231655023,Stub,"Afghanistan",,
"Mohammad Ghous Bashiri",1237694188,Start,"Afghanistan",,
"Jan Baz",1227635806,Stub,"Afghanistan",,
"Bashir Ahmad Bezan",1248505877,Start,"Afghanistan",,
"Rafiullah Bidar",1197443408,Stub,"Afghanistan",,
"Mohammad Siddiq Chakari",1134129082,Stub,"Afghanistan",,
"Cheragh Ali Cheragh",1193992206,Start,"Afghanistan",,
"Nasir Ahmad Durrani",988838315,Stub,"Afghanistan",,
"Muhammad Hashim Esmatullahi",949986748,Stub,"Afghanistan",,
"Ezatullah (Nangarhar)",1158302291,Stub,"Afghanistan",,
"Aimal Faizi",1185105938,Stub,"Afghanistan",,
"Gajinder Singh Safri",1212323536,Stub,"Afghanistan",,
"Sharif Ghalib",1245967190,Start,"Afghanistan",,
"Hashmat Ghani Ahmadzai",1207743719,C,"Afghanistan",,
"Abdul Ghani Ghani",1227026187,Stub,"Afghanistan",,
"Ghulam Ghaus",1158659195,Stub,"Afghanistan",,
"Ghulam Muhammad Ghobar",1240993642,Stub,"Afghanistan",,
"Mohammad Gul (Helmand Council)",1136611354,Stub,"Afghanistan",,
"Sayed Yousuf Halim",1234514565,Stub,"Afghanistan",,
"Rangina Hamidi",1234743111,C,"Afghanistan",,
"Sayed Zafar Hashemi",1179137138,Start,"Afghanistan",,
"Qutbuddin Hilal",1246566795,Start,"Afghanistan",,
"Mahboba Hoqomal",1243745950,Stub,"Afghanistan",,
"Musa Hotak",1246566804,Start,"Afghanistan",,
"Mirza Muhammad Ismail",1235165845,C,"Afghanistan",,
"Sayed Jalal",1137130537,Start,"Afghanistan",,
"Said Tayeb Jawad",1248976824,C,"Afghanistan",,
"Sayed Jalal Karim",1136614743,Start,"Afghanistan",,
"Hafizullah Shabaz Khail",1238402857,Start,"Afghanistan",,
"Masoud Khalili",1246566971,GA,"Afghanistan",,
"Mohammad Khan (athlete)",1247727443,Stub,"Afghanistan",,
"Samoud Khan",1195409073,Start,"Afghanistan",,
"Baran Khan Kudezai",1176481824,Start,"Afghanistan",,
"Azizullah Lodin",1247762293,Start,"Afghanistan",,
"Razaq Mamoon",1227180106,Start,"Afghanistan",,
"Fazel Ahmed Manawi",1234514379,Start,"Afghanistan",,
"Moeen Marastial",1246567093,Start,"Afghanistan",,
"Ahmad Wali Massoud",1221720658,Start,"Afghanistan",,
"Mohammad Daud Miraki",1227103354,C,"Afghanistan",,
"Abdul Sattar Mirzakwal",1145249317,Stub,"Afghanistan",,
"Abdul Karim Misaq",1235405154,Stub,"Afghanistan",,
"Ali Mohammad (politician)",1136630194,Stub,"Afghanistan",,
"Nasruddin Mohseni",1136630129,Start,"Afghanistan",,
"Davood Moradian",1239319380,Stub,"Afghanistan",,
"Zalmai Mujadidi",1223903677,Start,"Afghanistan",,
"Sardar Mohammad Nadir Naeem",1204109653,Stub,"Afghanistan",,
"Daoud Naji",1247131367,Start,"Afghanistan",,
"Gholam Rabani Nasher",1136534788,Stub,"Afghanistan",,
"Ghulam Faroq Nijrabi",1136614778,Stub,"Afghanistan",,
"Zabih-U-llah Ghazi Noristani",1136614682,Start,"Afghanistan",,
"Mohammed Tahir Omar",1185088733,Stub,"Afghanistan",,
"Mohammed Qalamuddin",1178097642,Stub,"Afghanistan",,
"Ghulam Mohammad Rigi",1129192917,Stub,"Afghanistan",,
"Ghulam Hassan Safi",1176507815,Stub,"Afghanistan",,
"Hanifa Safi",1123824802,Stub,"Afghanistan",,
"Mohammed Zia Salehi",1225457074,Stub,"Afghanistan",,
"Abdul Majid Samim",1225425205,Stub,"Afghanistan",,
"Saber Sangar",1227951669,Stub,"Afghanistan",,
